app-1    | 2025-07-07 10:50:04,988 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMi-wFBVV95cUxQNWJUUm0wM3BybmxvWXFhNkNEeEtRZjhSSUJQZ1RoTVFDcTg3cWVPSThSZTlXMDUxVHdhLU94Z0Z6T3NkODJVT2p5N29WV1VnQmJuZFZFa01Lb1VxRkNESnVkNGNHTmVac29kUkNBVkZFOVZFbjRBWnd0RGhTSFB2VG13ckpIMzdmR201NHdCeFFzQjBqbnZLeDI3WVp5MUExRGVqYVVlUTlyQkRvWUprcEdvYlg1bjVLeHRvYkFQdlVON1dHdXR2SlZLRGJtZGlwX0pMMkhkc29wb3Noc09ERm1WMjRfVWJKcTRTYUN1YzVXaThfdWFWQU9CONIBgAJBVV95cUxQMC1xUWRlbmxmbVUyNjEzSEhEOGIyMWkzUzNId3Y1TDZhT04tMU9tVVo5TmdJc1ExbmNITmpEYkt0NU5YTDVIbnhCc2UyeXJVNGZYNzlNWVoxMWNSb1ZzdGhmZEhNSWtIVVlEb0M4SDhFWUJzeHFuN2Uwd2dmQ2N4N2dLS3A1T0tsTE1KelkxWEpkVGREZlRZcVEybmd2OTdXMFZUQ1F4RHRuRF9XVVR3M29salMyOWNJMWxIRHpOcVNQUW82RlZNQUVDaUZqeGxhZ1NGczJSX294TU5BMmpmQzFOWG9SbVFaZnpZWGZsazE1TDdtS1pLM2g4WkowQ1Y4?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,991 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiVkFVX3lxTE9zNzMxWDI0Ty1idmpMWGxrNDg3OWdkMmI0eGE1ZkgyY0xsQXUyLUVVbmtZckRPamlNUWVOVktkSkhSSlkxTkxKdnd4b0dic1dXbm92WlZB?oc=5&hl=en-IN&gl=IN&ceid=IN:en "HTTP/2 200 OK"
app-1    | 2025-07-07 10:50:04,994 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiyAFBVV95cUxOdWxkSUhiUHRyeUR1Nld5SmVDWVYwWU1YcU55UHlwbk9SWjRjREZiNThnaUVFeGxRdjhKclkwWk14YTY2NGU1SzNmNVJYenRhNlpINmpVSG1uZGFZUW1NeG9kZ05BNy12SEVfUlFnWFVCS2pVM1JOX3JvUzN3WXZGc1o0WHczaDF0Wk9EdXkzQm5lZFpDYUhHVnNkTUJtcHA0dzZyVzFfb1ZKY2FMRlFvc1hHOFBrVU5EbGFCOXR4bDgwQW94T0RKcNIBzgFBVV95cUxPWkxQTnFKSmh3TlpEQTFnaC1vRVQ3a1B2ZG5NdlVKUE9DQl84ZmtBelRuNkl3MWZoazB4WXlDUmtNMF80OGEtU1VEWmR4bERvTFhDWWI5WXR3bVlWQ2hUQm0yZGpUQUxyRC1xWkZDcW9ScXZfdUZnZ3hiclY4cVgzaWdRcFBMZDdyanFpVGpKcWdXbjd5ZkN4Q1JGRXc1Y2FKNG1Nczg0dmhZTktvc1BoSXduSGgtUWo0eEk2TE5kZXdtM1RRWERjeGZxSk4tUQ?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,995 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiogFBVV95cUxPcl9LY0tMMVZBSlMzeE95djBkc0tsTFk0d3hlenFWR1kwU01MRVpWTk85SEhwZ09ZM25xcmo0MkhBekhCZmppVXJlNm5sUE9ucEVodDU5YzZCTmY1WkhiTGV1ZzZhQVIxN3MybnplQ1hWcktEQ25KOC1kSUVSZnBnUUhHRWY3YkdDc3RfZlBnSUNZVjQ0d0RNSU1fX2t2eTg4bXc?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:05,003 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiqgFBVV95cUxQREZwYndTWmhOend2ZFcyVndySnR1ZEhZeUowWk5CSDlUWE9sdUtwVUktVVpRb2NubzZObUZ6OE05Z0JBcWV1T3haVTN5T2xlMHBPeE5zWVNPQkJwWVdfcEVuZ3RXRHFGRW1wSFEyTEhUb3hSYzY2RmxhVWYwU0FuMWpIWTdoUWNpcjM4S0M4MXBhTGs2MzZPck54NmVGVjl4X1Jac0FWZmd0QdIBsgFBVV95cUxNZk9ObHgyMThjYVFkblZ3U1dUd3prTFdCLVUwN2hHSmFncXVTRVl5VHhSNjdJNEphWkp4Ny1HTm00bm1nYlRELUxQNHFhMHJ0TS1sYTBpbVRfVXUtdWdqanYyOVFHQnFTeTFuUE5lWk15ejY4a053ZDVLeVVvcEFFd3RnSjJ5aEgwYjgtbFAzQ0VYc2hlZDVxTFVLSkpmY2lZRVhSNjB6M2xicDdveE1rd0Fn?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:05,007 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiygFBVV95cUxNdjhCNVc1RWxWMTlpdmN3bUlkZlhCTkx6akhUUGdpeUZVVVZDZkdHdGQ0MzlRUjYtN0RvS3VfU2VTUzVXX0RIVHpQVDhNZnV2ZXBUM25PaGRWc2sybTEzWE9uYUF5MkdJWDNITHVUbUF2d3FPdjNhS2xxYWZWQnJXbDBGZm81SXVMV1NVUWxIMDRlU0licFg3d2cybUk0YW12X2syZzExejFBTWdmWVNDbTNUV2xfN0xZRlRBbmw3UVNnMkhzZFVkMnFR?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:05,016 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMisAFBVV95cUxPV1BjU3licXhnN3hPWnA4TDF1RnlDck44YzdYOFlPcHRfMFVmbVdqb3hSQndQVm84dUhodmZLelR6eEZNR1VZZzU0TFEtZGphendqdTdweXFmOXcwWHdkRU1sOTRjSDdHVGZuV2dqS1ZjelFDU195MzBlQmxpOTFjaUNCWDVnc2kxdHRyMGtIdHY5djBFU05TR19SdXpZcF9PcTlycDRMSUhvNTVRNGF6dNIBuAFBVV95cUxNd2xibXlQSW1MdTczNllWeGZLYzhjV2d3SXpBWU5oY1hhT0RyM1I1NzBkOEhWSDk0T3Rsd21DYkNNeXpaT0FnNko3OFBmWDJCdzJjX0tyOFBsN2FXY0hJYjJsRUNMOHg4bnZBUjAwa3lJenA5eDBwNjlzN2ZzdkJsOUlFMHM4REo0VlhheGtWVDBPUGlISEY2NG9wTFo0X0V2c2U5SFdOSFI3NVlTWGhyMlIzOTBLOXNq?oc=5&hl=en-IN&gl=IN&ceid=IN:en "HTTP/2 200 OK"
app-1    | 2025-07-07 10:50:05,016 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMimwFBVV95cUxOcENXOXNHSHg0LV94bGhEbDJTeU9IMmpvSmZMZVJGMjVCYU9sVUZ2cWtSZFU0WTl2WmNtWWNTNmRnczdfMG1OZC1FRWlTRXFKQUxyVUJMU3NiUE1vRnROWmRPc0tuRlNiTEpoc0syWl96Zk45dkxLc245T3Fwb1M2MlU2MC0zNEdoSXJjV3hrMmZIV1NyNUM3aVZhbw?oc=5&hl=en-IN&gl=IN&ceid=IN:en "HTTP/2 200 OK"
app-1    | 2025-07-07 10:50:05,033 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMibEFVX3lxTE1sd1JvVU4zdm1qamt2UVFNNFkxUEpSRGdfTFJjcVNLV3ZjMUV0Q1pndWJGcTltdDJqOC1SNmplLUJuWVVqVTNiVEYxRTJXVV9zdkptWW82c3dhNjRHX0VHT0tYZkxwY2toRjVTUdIBckFVX3lxTE1OSldzb2xZLUxLWW9FMXA5TFJIdHd5QzlMMm8tREc1emMtS2N0UU5INWRmS3I3Yl9XNXRTejB0Y3ozY2JoVVlCNnNRNWYyaV9HZHZESG94VUN6V2h4R0NLZnkxR2ZsbTQwTVUxbHFoa0RUUQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en "HTTP/2 200 OK"
app-1    | 2025-07-07 10:50:05,036 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMipwFBVV95cUxOS2lKT3VYM3FWYmYtZHBKOF9vaG9ibW85Q1NGbVpSbzdMTUJLZEFfbXlRdjd3Ylh1Q1lWTnhFdmZEYzhfV1l2SnRqc1NkYlBCTERnSWNuNXFvVnczeDZmcl9ZdFF3M2JqemU1bEtoV3IwT0QxWkhOLWFLVGpNbG02ZEU1Q2RMamlheTM4YjkyNzFaTFNLQmQxbmRwRU5faldON1Jad3Rrc9IBrAFBVV95cUxNRHFqSlJIdno0YlFuenZ3d3ZwQ3l6YUJEOEtKV1A3ckxfVHJDNERYZ203UHg0SnRvbXY1MjZfbmFhOFktV3J6WjZxcjhpbFg3NThNc2tNNXJObjFHZGFKZk4tbElQLU1fdm10NGo0RmMwZjNZbUEtWEpvQlZPeUQ1YnAzbk13bEpGbVVXaWZPcmdpMHRVcVZ0QVZsc0FlUEI2TjFfeVhwY3hMSktQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en "HTTP/2 200 OK"
